tgl_publish,judul,link
"2016-02-01 18:54:00","Banleg DPRA Gelar Rapat Penyusunan Prolega 2016",https://infopublik.id/kategori/nusantara/143665/banleg-dpra-gelar-rapat-penyusunan-prolega-2016
"2016-02-01 19:08:00","Gubernur Aceh: KAHMI Harus Terlibat Aktif Membangun Aceh",https://infopublik.id/kategori/nusantara/144392/gubernur-aceh-kahmi-harus-terlibat-aktif-membangun-aceh
"2016-02-26 10:35:00","Pemerintah Aceh Tingkatkan Pelestarian Kebudayaan Islami  ",https://infopublik.id/kategori/nusantara/146677/pemerintah-aceh-tingkatkan-pelestarian-kebudayaan-islami
"2016-02-26 16:00:00","Meski Meningkat, Uang Perjalanan Dinas, Tetap Dibayar At Cost",https://infopublik.id/kategori/nusantara/146681/meski-meningkat-uang-perjalanan-dinas-tetap-dibayar-at-cost
"2016-02-27 06:15:00","Wakil Gubernur Aceh Imbau Pemuda dan Mahasiswa Jauhi Narkoba",https://infopublik.id/kategori/nusantara/146771/wakil-gubernur-aceh-imbau-pemuda-dan-mahasiswa-jauhi-narkoba
"2016-02-29 08:09:00","Gubernur: Lapangan Kerja Solusi Menggerus Penanam Ganja",https://infopublik.id/kategori/nusantara/146873/gubernur-lapangan-kerja-solusi-menggerus-penanam-ganja
"2016-03-01 13:41:00","Jokowi: Manfaatkan Bandara Rembele sebagai Sarana Investasi",https://infopublik.id/kategori/nusantara/147466/jokowi-manfaatkan-bandara-rembele-sebagai-sarana-investasi
"2016-03-01 15:33:00","Februari Aceh Alami Inflasi 0,02%",https://infopublik.id/kategori/nusantara/147325/februari-aceh-alami-inflasi-0-02
"2016-03-01 17:02:00","Kemkominfo Biayai Program S2 Ilmu Komunikasi ",https://infopublik.id/kategori/nusantara/147160/kemkominfo-biayai-program-s2-ilmu-komunikasi
"2016-03-12 18:38:00","Gubernur Aceh Kunjungi Pabrik Pengolah Ikan Abecho Shoten di Jepang",https://infopublik.id/kategori/nusantara/148513/gubernur-aceh-kunjungi-pabrik-pengolah-ikan-abecho-shoten-di-jepang
"2016-03-16 11:13:00","PT. DI Tawarkan Pesawat N-219 dan R-80 ke Pemerintah Aceh ",https://infopublik.id/kategori/nusantara/148947/pt-di-tawarkan-pesawat-n-219-dan-r-80-ke-pemerintah-aceh
"2016-03-16 11:30:00","Perempuan Aceh Perlu Pengetahuan Parenting",https://infopublik.id/kategori/nusantara/148950/perempuan-aceh-perlu-pengetahuan-parenting
